@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.6,0.936,8,-1.921,1,0.0366,0.038,0.0,0.312,0.694,94.983,222463,4,0
0.529,0.923,2,-4.166,1,0.0764,0.00393,0.0,0.333,0.64,143.034,204773,4,0
0.676,0.731,7,-5.603,1,0.0362,0.00998,0.0,0.251,0.776,118.023,176587,4,0
0.534,0.905,0,-3.52,1,0.134,0.00198,0.0,0.0519,0.576,159.936,237866,4,0
0.622,0.934,4,-2.828,1,0.105,0.0127,0.0,0.16,0.92,163.955,185760,4,0
0.756,0.658,11,-6.128,0,0.202,0.0581,0.0,0.0674,0.639,120.018,247829,4,0
0.646,0.926,6,-2.531,0,0.15,0.0452,0.0,0.2,0.797,93.998,209733,4,0
0.426,0.868,1,-3.702,1,0.047,6.54e-05,0.0,0.0723,0.402,149.042,216000,4,0
0.641,0.787,0,-4.271,1,0.0375,0.0268,0.0,0.11,0.916,93.01,201507,4,0
0.668,0.875,4,-3.963,1,0.0447,0.0428,0.0,0.379,0.934,92.992,193733,4,0
0.742,0.784,1,-5.458,1,0.0552,0.0308,0.0,0.354,0.65,101.002,188200,4,0
0.503,0.876,5,-3.443,1,0.0717,0.0139,2.19e-06,0.307,0.536,147.021,171896,4,0
0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,193653,4,0
0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,198267,4,0
0.511,0.772,4,-3.461,1,0.0612,0.000687,0.0,0.306,0.786,146.832,208653,4,0
0.502,0.98,4,-3.762,1,0.442,0.0845,0.0,0.44,0.342,136.008,201800,4,0
0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,216013,4,0
0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,182827,4,0
0.497,0.923,2,-4.512,1,0.138,0.00282,0.0,0.158,0.663,181.074,198000,4,0
0.555,0.903,9,-4.542,1,0.12,0.00257,0.0,0.112,0.533,148.06,217882,4,0
0.68,0.911,4,-4.059,1,0.0696,0.0696,0.0,0.0926,0.785,128.015,184360,4,0
